,region,year,prep_temp_2m,prep_soil_temp_l1,prep_soil_water_vol_l1,prep_net_solar_radiation,prep_total_rain,plnt_temp_2m,plnt_soil_temp_l1,plnt_soil_water_vol_l1,plnt_net_solar_radiation,plnt_total_rain,grow_temp_2m,grow_soil_temp_l1,grow_soil_water_vol_l1,grow_net_solar_radiation,grow_total_rain,head_temp_2m,head_soil_temp_l1,head_soil_water_vol_l1,head_net_solar_radiation,head_total_rain,hvst_temp_2m,hvst_soil_temp_l1,hvst_soil_water_vol_l1,hvst_net_solar_radiation,hvst_total_rain
43,Ichihara,1999,281.69838875,281.8980265,0.38124357425,45746005.2,0.016211847089999898,291.39808800000003,291.29755,0.372383297,17236101.0,0.00406080112,295.81663249999997,295.71380049999993,0.371703868,31503848.2,0.009861266090000001,299.098806,299.33626350000003,0.307219099,31019666.5,0.00524300686,291.98954100000003,292.633195,0.326377702,10336266.5,0.0040101738999999
44,Ichihara,2000,281.3490925,281.70301,0.38060946075,49867639.2,0.01403092464,291.246612,291.295793,0.382268108,17370674.8,0.00469245938,296.19009,296.1661345,0.388175995,31633387.4,0.01547598746,298.04413999999997,298.299539,0.3575978875,30003830.6,0.008744751700000001,291.33495600000003,291.927727,0.400996483,8770945.0,0.00525103205
45,Ichihara,2001,281.30651375,281.67376775,0.38473299524999993,47942990.9,0.0155547108999999,291.106125,290.988256,0.376148593,15776148.7,0.00443317007,296.797139,296.85686799999996,0.34421990950000003,35242358.1,0.00568892245,296.657386,297.0402375,0.3519184775,27415426.1,0.0113543171199999,291.215254,291.60704100000004,0.4030202639999999,10507704.0,0.00882753025
46,Ichihara,2002,282.8031265,282.98764525,0.37554156325,49139455.4,0.01290374945,290.170883,290.272766,0.3673734899999999,15969892.9,0.00306920284,296.2249115,296.1600535,0.37097415850000004,31270826.1,0.0114756995899999,297.2400615,297.67952249999996,0.362308603,29056688.0,0.0132296872999999,291.00480600000003,291.675293,0.399032928,10810329.5,0.004810607
47,Ichihara,2003,281.190826,281.406298,0.4008336755,45998563.2,0.0178151341899999,290.377904,290.24551299999996,0.378768729,14481181.9,0.00352010062,295.0425265,294.96738949999997,0.387870348,27501923.9,0.00814831011,296.9334045,297.2085805,0.375006443,27384406.9,0.0174262591299999,290.080895,290.580916,0.398855064,9975962.1,0.00530161525
48,Ichihara,2004,282.3796915,282.71573575,0.3629807825,51809670.4,0.0110105595459999,291.64416900000003,291.627324,0.39313047,14657317.6,0.00698545739,297.14697449999994,297.2673765,0.3168569245,36910071.0,0.00523683656,297.86823449999997,298.290881,0.3244583785,29328288.9,0.0088323683399999,291.007306,291.591523,0.413200368,8200776.1,0.0188128066
49,Ichihara,2005,281.563314,281.928449,0.3919772055,49273364.4,0.01453452444,289.693453,289.8956,0.349299025,16992311.9,0.00425037615,295.76704900000004,295.709991,0.3949484815,29200447.5,0.015297075369999899,297.64108799999997,297.97821250000004,0.36336534649999996,29626537.4,0.0078135712399998,291.662377,292.191523,0.395578217,8962444.4,0.00425212896
50,Ichihara,2006,281.236966,281.4685245,0.3893782195,45110446.75,0.01532152713,290.491136,290.375728,0.391730581,14539578.8,0.0041305143,295.53529,295.4703595,0.38667850449999996,27610031.799999997,0.01078579797,297.122746,297.3734175,0.38931476499999995,27817047.700000003,0.01204572808,291.597392,292.08110500000004,0.392203101,9937488.5,0.01120672705
51,Ichihara,2007,282.41384875,282.7525825,0.384676847,48355841.9,0.0123998382599999,291.00709,291.109755,0.37765484,18037062.2,0.00387355973,295.3047245,295.330398,0.3731550495,31299871.8,0.012042036839999999,298.42406800000003,298.753641,0.32413600749999993,30497263.7,0.00810263101,291.232042,291.665787,0.386741305,9705558.6,0.0083589670899999
52,Ichihara,2008,281.43141025,281.78438,0.391158032,47734965.2,0.01576442098,290.377227,290.392533,0.401212847,14462308.9,0.0078404002299999,295.73584750000003,295.7189525,0.36988030699999996,31737388.5,0.00906525443,297.515352,297.8867745,0.344142865,28196740.7,0.0104772297999999,291.757585,292.11294699999996,0.398499832,9936086.6,0.00440302818
53,Ichihara,2009,282.513102,282.84232699999995,0.38799488574999996,47650580.0,0.01533889387,291.636536,291.634715,0.374305656,15951535.4,0.00445869358,296.0227575,295.9373325,0.3933424095,28432580.7,0.01226534185,296.2132795,296.523505,0.3743866735,26948453.8,0.0093690357099999,291.025266,291.285083,0.3922863829999999,9363103.2,0.0085225609
54,Ichihara,2010,281.7019025,281.9963135,0.39332183649999997,42169248.1,0.0185271203649999,290.58950500000003,290.70835,0.3750022899999999,17329746.0,0.0034508780099999,297.0061585,296.856134,0.376997423,33215860.1,0.011612895889999999,298.7675345,299.22541049999995,0.334235415,31221060.0,0.01231625243,291.56697399999996,292.088726,0.409738005,8104473.45,0.0101467449
55,Ichihara,2011,281.01325075,281.453454,0.371699357,51638772.900000006,0.011296995891,290.567477,290.614056,0.379592467,16071174.0,0.00709955955,296.64516000000003,296.560748,0.36143947200000004,31513157.0,0.00866762096,298.1415715,298.43906300000003,0.36525400899999994,30132535.2,0.0081594849399999,291.46669099999997,291.972606,0.390805888,9573028.5,0.00603010433
